CreditCardID,CardType,CardNumber,ExpMonth,ExpYear,ModifiedDate
171,Distinguish,55554843263520,8,2005,"2013-09-05 00:00:00"
172,SuperiorCard,33338669078698,11,2008,"2012-08-24 00:00:00"
173,SuperiorCard,33331831813839,10,2007,"2012-10-15 00:00:00"
174,ColonialVoice,77772993284666,7,2006,"2014-01-12 00:00:00"
175,ColonialVoice,77779842480754,1,2006,"2012-07-20 00:00:00"
176,SuperiorCard,33337664613331,10,2007,"2013-11-27 00:00:00"
177,Vista,11114493005589,9,2005,"2012-09-09 00:00:00"
178,Vista,11115247168390,6,2008,"2013-03-07 00:00:00"
179,SuperiorCard,33332143726640,3,2007,"2013-08-19 00:00:00"
180,Distinguish,55554119155738,12,2008,"2012-05-30 00:00:00"
181,ColonialVoice,77773813992363,12,2007,"2011-07-01 00:00:00"
182,Distinguish,55557755502133,3,2008,"2013-03-24 00:00:00"
183,Vista,11112359824733,3,2005,"2014-01-01 00:00:00"
184,SuperiorCard,33333348568848,10,2007,"2013-11-03 00:00:00"
185,Distinguish,55559237831556,3,2008,"2014-03-04 00:00:00"
186,Vista,11118301852338,10,2007,"2013-11-04 00:00:00"
187,Vista,11115020407589,2,2007,"2014-03-01 00:00:00"
188,ColonialVoice,77777688940363,12,2005,"2013-09-13 00:00:00"
189,SuperiorCard,33338902011178,1,2008,"2014-04-25 00:00:00"
190,Distinguish,55557767763037,7,2006,"2014-01-17 00:00:00"
191,SuperiorCard,33338434402110,7,2005,"2013-12-20 00:00:00"
192,SuperiorCard,33335647678654,6,2007,"2013-11-23 00:00:00"
193,Vista,11115472069769,12,2005,"2013-04-30 00:00:00"
194,ColonialVoice,77774510580754,8,2008,"2012-06-30 00:00:00"
195,Distinguish,55551871947166,9,2005,"2012-08-28 00:00:00"
196,Vista,11117010076386,7,2005,"2014-05-22 00:00:00"
197,Distinguish,55556931298047,5,2006,"2012-04-18 00:00:00"
198,SuperiorCard,33335007569167,7,2007,"2014-01-23 00:00:00"
199,SuperiorCard,33335500655096,5,2007,"2013-11-10 00:00:00"
200,Distinguish,55557032858138,4,2008,"2014-04-28 00:00:00"
201,ColonialVoice,77779670323108,5,2005,"2014-06-14 00:00:00"
202,SuperiorCard,33338461708438,12,2007,"2013-10-16 00:00:00"
203,Vista,11111448471115,11,2007,"2014-03-01 00:00:00"
204,Distinguish,55556333798473,4,2005,"2011-07-01 00:00:00"
205,Distinguish,55556779365170,4,2008,"2012-08-15 00:00:00"
206,Vista,11116739347695,7,2006,"2013-10-30 00:00:00"
207,Distinguish,55553665516951,1,2008,"2013-08-06 00:00:00"
208,Distinguish,55551100991160,11,2007,"2012-04-12 00:00:00"
209,Vista,11115652257330,11,2005,"2014-06-11 00:00:00"
210,SuperiorCard,33331045083655,7,2006,"2013-10-03 00:00:00"
211,SuperiorCard,33338100993388,6,2006,"2013-10-18 00:00:00"
212,SuperiorCard,33334516281208,7,2008,"2014-03-14 00:00:00"
213,SuperiorCard,33335468433685,9,2008,"2011-12-30 00:00:00"
214,SuperiorCard,33334836418984,4,2008,"2013-09-19 00:00:00"
215,Vista,11112748708059,3,2008,"2011-11-18 00:00:00"
216,Distinguish,55559713551424,7,2005,"2011-11-05 00:00:00"
217,SuperiorCard,33337773356896,10,2005,"2012-08-04 00:00:00"
218,Vista,11116900410151,12,2007,"2014-02-25 00:00:00"
219,SuperiorCard,33333000525927,2,2006,"2014-01-07 00:00:00"
220,Distinguish,55556544254316,12,2005,"2009-01-15 00:00:00"
221,Vista,11113174835553,10,2007,"2014-02-24 00:00:00"
222,ColonialVoice,77777095305642,3,2007,"2013-08-14 00:00:00"
223,SuperiorCard,33334363859950,8,2007,"2011-10-12 00:00:00"
224,Vista,11111290138301,5,2006,"2013-04-27 00:00:00"
225,Vista,11111419890999,10,2005,"2012-02-10 00:00:00"
226,SuperiorCard,33332281809376,4,2006,"2013-11-08 00:00:00"
227,Vista,11113025574459,10,2007,"2013-06-30 00:00:00"
228,Vista,11117706542802,7,2007,"2014-04-14 00:00:00"
229,SuperiorCard,33331049139565,9,2008,"2014-06-29 00:00:00"
230,Distinguish,55552612523111,7,2008,"2013-07-31 00:00:00"
231,Vista,11119558626152,11,2008,"2012-02-03 00:00:00"
232,Vista,11114626054731,10,2007,"2014-05-21 00:00:00"
233,ColonialVoice,77778363584843,1,2007,"2014-05-07 00:00:00"
234,ColonialVoice,77775702340665,3,2005,"2013-09-29 00:00:00"
235,ColonialVoice,77774153486314,2,2006,"2014-05-04 00:00:00"
236,ColonialVoice,77772024781018,12,2005,"2013-07-27 00:00:00"
237,SuperiorCard,33334524652098,4,2006,"2014-03-31 00:00:00"
238,ColonialVoice,77771764342795,12,2005,"2013-09-25 00:00:00"
239,Distinguish,55556382031773,10,2006,"2013-05-23 00:00:00"
240,Distinguish,55553353112217,5,2008,"2013-11-21 00:00:00"
241,ColonialVoice,77776406923553,5,2005,"2014-06-16 00:00:00"
242,SuperiorCard,33337414425957,10,2005,"2011-05-31 00:00:00"
243,Distinguish,55554566989903,3,2007,"2014-02-23 00:00:00"
244,SuperiorCard,33332518757403,7,2005,"2014-02-05 00:00:00"
245,ColonialVoice,77776250555783,8,2008,"2013-09-27 00:00:00"
246,SuperiorCard,33331574523505,3,2005,"2011-08-12 00:00:00"
247,SuperiorCard,33334358455811,10,2005,"2014-01-17 00:00:00"
248,Vista,11118545580995,9,2007,"2014-04-11 00:00:00"
249,SuperiorCard,33333022881251,9,2006,"2013-10-14 00:00:00"
250,ColonialVoice,77773099238780,2,2008,"2013-10-20 00:00:00"
251,SuperiorCard,33337187139676,3,2008,"2012-01-20 00:00:00"
252,SuperiorCard,33337077455871,8,2006,"2013-12-15 00:00:00"
253,SuperiorCard,33331912505385,10,2005,"2013-04-29 00:00:00"
254,Distinguish,55554276734483,11,2007,"2014-03-17 00:00:00"
255,SuperiorCard,33333122092398,6,2006,"2014-04-06 00:00:00"
256,Vista,11111578243413,12,2008,"2014-05-16 00:00:00"
257,Vista,11112463732121,10,2006,"2013-10-10 00:00:00"
258,ColonialVoice,77776185540781,6,2008,"2013-01-05 00:00:00"
259,SuperiorCard,33338971372491,4,2008,"2013-12-06 00:00:00"
260,SuperiorCard,33331806839744,7,2008,"2009-02-23 00:00:00"
261,ColonialVoice,77773186672230,12,2008,"2011-10-08 00:00:00"
262,SuperiorCard,33339710777722,4,2005,"2014-05-28 00:00:00"
263,SuperiorCard,33333857621376,12,2006,"2012-08-08 00:00:00"
264,Distinguish,55557055583187,6,2007,"2013-12-18 00:00:00"
265,Distinguish,55552836814693,4,2007,"2013-10-04 00:00:00"
266,ColonialVoice,77775631592757,1,2007,"2012-06-14 00:00:00"
267,SuperiorCard,33331311168762,11,2005,"2011-05-31 00:00:00"
268,SuperiorCard,33332211768137,2,2006,"2011-09-16 00:00:00"
269,SuperiorCard,33337121705928,8,2007,"2011-07-04 00:00:00"
270,SuperiorCard,33338784038789,7,2008,"2012-08-01 00:00:00"
271,ColonialVoice,77772097663028,9,2006,"2013-07-02 00:00:00"
272,SuperiorCard,33336884975462,8,2005,"2014-03-01 00:00:00"
273,ColonialVoice,77774350037576,11,2006,"2014-03-03 00:00:00"
274,Distinguish,55553286107663,9,2008,"2013-01-19 00:00:00"
275,Distinguish,55555327654649,5,2008,"2014-03-13 00:00:00"
276,SuperiorCard,33336128462841,12,2007,"2013-11-21 00:00:00"
277,ColonialVoice,77779052030234,5,2005,"2013-08-26 00:00:00"
278,Distinguish,55558803622808,9,2008,"2014-01-16 00:00:00"
279,Vista,11116531194989,5,2006,"2013-11-26 00:00:00"
280,Vista,11119478266157,6,2006,"2013-12-07 00:00:00"
281,Distinguish,55551340489507,5,2006,"2012-01-20 00:00:00"
282,ColonialVoice,77776406538214,12,2006,"2013-09-14 00:00:00"
283,SuperiorCard,33339429165111,9,2005,"2014-01-28 00:00:00"
284,SuperiorCard,33333582192961,4,2005,"2014-01-11 00:00:00"
285,Distinguish,55553915166444,6,2008,"2013-08-14 00:00:00"
286,ColonialVoice,77773615831491,8,2007,"2013-06-22 00:00:00"
287,ColonialVoice,77774957386427,12,2006,"2012-02-13 00:00:00"
288,SuperiorCard,33333339429635,6,2007,"2013-12-16 00:00:00"
289,Distinguish,55558798543734,6,2008,"2013-08-19 00:00:00"
290,SuperiorCard,33338430651749,7,2006,"2013-09-05 00:00:00"
291,Distinguish,55556726374092,7,2007,"2012-05-11 00:00:00"
292,Vista,11115248640937,5,2005,"2012-11-08 00:00:00"
293,Vista,11111949366286,1,2007,"2014-02-16 00:00:00"
294,Vista,11111418735493,3,2005,"2013-12-15 00:00:00"
295,SuperiorCard,33335549151443,9,2007,"2014-02-20 00:00:00"
296,SuperiorCard,33333589610564,10,2008,"2013-10-16 00:00:00"
297,SuperiorCard,33333361325378,11,2005,"2013-07-11 00:00:00"
298,ColonialVoice,77776298632346,10,2008,"2013-10-20 00:00:00"
299,Distinguish,55551842980137,4,2006,"2011-08-01 00:00:00"
300,Vista,11118661036033,5,2007,"2013-10-31 00:00:00"
301,Distinguish,55558471257051,12,2006,"2014-04-07 00:00:00"
302,SuperiorCard,33335006452683,4,2006,"2013-05-02 00:00:00"
303,Vista,11119770104261,9,2005,"2013-09-03 00:00:00"
304,ColonialVoice,77775921255907,4,2008,"2013-10-10 00:00:00"
305,Distinguish,55552297689520,7,2005,"2014-06-22 00:00:00"
306,Vista,11114534921033,8,2007,"2013-09-26 00:00:00"
307,SuperiorCard,33331161840943,1,2006,"2014-05-06 00:00:00"
308,SuperiorCard,33331460725625,6,2007,"2013-12-06 00:00:00"
309,Vista,11117945717058,3,2007,"2014-03-23 00:00:00"
310,Distinguish,55554029756638,11,2006,"2011-08-08 00:00:00"
311,SuperiorCard,33335435900165,11,2006,"2013-08-16 00:00:00"
312,SuperiorCard,33333463470760,3,2008,"2014-06-08 00:00:00"
313,Distinguish,55558016579760,7,2007,"2013-10-28 00:00:00"
314,ColonialVoice,77777527755354,1,2007,"2014-04-06 00:00:00"
315,ColonialVoice,77772840648082,10,2008,"2012-05-07 00:00:00"
316,ColonialVoice,77777479245209,12,2006,"2013-07-08 00:00:00"
317,ColonialVoice,77775217016118,1,2007,"2014-05-27 00:00:00"
318,SuperiorCard,33333795332504,12,2005,"2012-07-04 00:00:00"
319,SuperiorCard,33333588055875,3,2008,"2011-08-01 00:00:00"
320,Distinguish,55559136297933,9,2005,"2013-07-16 00:00:00"
321,Vista,11115874925443,7,2005,"2012-09-29 00:00:00"
322,Vista,11111465897576,12,2006,"2014-05-01 00:00:00"
323,Distinguish,55556491880971,2,2007,"2013-08-18 00:00:00"
324,SuperiorCard,33336623042951,2,2005,"2009-02-03 00:00:00"
325,Vista,11113130199296,12,2007,"2013-04-13 00:00:00"
326,Distinguish,55559209385215,7,2008,"2014-06-25 00:00:00"
327,Distinguish,55552963103062,7,2008,"2012-05-07 00:00:00"
328,SuperiorCard,33337184417741,10,2006,"2014-03-01 00:00:00"
329,SuperiorCard,33333601842727,8,2008,"2012-04-23 00:00:00"
330,Distinguish,55559400224010,2,2007,"2013-05-04 00:00:00"
331,Distinguish,55558186928969,11,2006,"2013-11-03 00:00:00"
332,SuperiorCard,33335351251421,6,2006,"2012-03-16 00:00:00"
333,Distinguish,55559281360112,5,2005,"2012-06-07 00:00:00"
334,Distinguish,55558268660616,6,2005,"2014-03-23 00:00:00"
335,Distinguish,55551133073710,2,2005,"2013-08-04 00:00:00"
336,SuperiorCard,33332970292118,7,2008,"2012-06-30 00:00:00"
337,Vista,11114703000162,5,2007,"2013-03-06 00:00:00"
338,ColonialVoice,77777663342481,9,2008,"2014-05-05 00:00:00"
339,Distinguish,55559475880011,12,2008,"2014-03-31 00:00:00"
340,Distinguish,55555375872116,10,2006,"2013-08-04 00:00:00"
341,Vista,11114437847221,3,2005,"2012-12-11 00:00:00"
342,ColonialVoice,77776266152345,1,2006,"2013-12-23 00:00:00"
343,Vista,11115701454851,7,2008,"2013-12-03 00:00:00"
344,Vista,11119674361490,9,2006,"2013-10-10 00:00:00"
345,Vista,11118110021923,6,2008,"2013-10-10 00:00:00"
346,SuperiorCard,33335534675723,3,2008,"2013-12-24 00:00:00"
347,SuperiorCard,33337539270232,9,2005,"2013-09-08 00:00:00"
348,Distinguish,55551813343426,11,2008,"2013-09-08 00:00:00"
349,ColonialVoice,77772412583693,9,2007,"2012-12-01 00:00:00"
350,ColonialVoice,77774617407824,5,2007,"2013-07-17 00:00:00"
351,ColonialVoice,77776250422618,12,2007,"2012-10-19 00:00:00"
352,Vista,11111038492177,5,2005,"2012-09-23 00:00:00"
353,Vista,11113953531031,11,2008,"2013-12-31 00:00:00"
354,SuperiorCard,33337208763627,6,2007,"2013-12-03 00:00:00"
355,SuperiorCard,33336233008911,9,2008,"2013-06-30 00:00:00"
356,Vista,11114068402158,10,2008,"2013-06-27 00:00:00"
357,SuperiorCard,33339094840927,1,2008,"2014-02-12 00:00:00"
358,SuperiorCard,33336454753250,11,2006,"2012-05-27 00:00:00"
359,ColonialVoice,77776472904565,10,2008,"2012-09-14 00:00:00"
360,ColonialVoice,77772894126334,7,2005,"2014-03-21 00:00:00"
361,SuperiorCard,33333660692169,4,2007,"2014-01-21 00:00:00"
362,Distinguish,55553141509249,3,2007,"2014-06-05 00:00:00"
363,ColonialVoice,77775139403469,8,2006,"2014-04-04 00:00:00"
364,Distinguish,55558521977541,9,2007,"2014-04-09 00:00:00"
365,Vista,11113304959304,8,2005,"2013-08-12 00:00:00"
366,Distinguish,55551373386979,6,2007,"2014-03-25 00:00:00"
367,ColonialVoice,77771658774976,10,2006,"2012-08-05 00:00:00"
368,SuperiorCard,33337996194943,8,2008,"2013-11-17 00:00:00"
369,Distinguish,55558962653402,7,2008,"2012-10-04 00:00:00"
370,Distinguish,55552920607882,10,2007,"2012-03-30 00:00:00"
371,Vista,11111423384823,2,2006,"2012-07-31 00:00:00"
372,Distinguish,55554640760212,6,2008,"2014-02-08 00:00:00"
373,SuperiorCard,33336635791537,10,2008,"2012-01-26 00:00:00"
374,Vista,11118111347101,2,2007,"2014-05-04 00:00:00"
375,Distinguish,55556238588767,5,2005,"2014-03-16 00:00:00"
376,SuperiorCard,33337864080360,7,2006,"2013-05-07 00:00:00"
377,Vista,11112840822877,1,2005,"2012-07-14 00:00:00"
378,Distinguish,55551023233383,4,2006,"2014-02-20 00:00:00"
379,SuperiorCard,33339866323726,2,2008,"2014-03-31 00:00:00"
380,ColonialVoice,77773081956952,1,2008,"2011-11-18 00:00:00"
381,SuperiorCard,33333904253150,3,2006,"2013-07-15 00:00:00"
382,Vista,11116204530793,5,2007,"2012-09-28 00:00:00"
383,Vista,11111586263693,5,2006,"2012-06-25 00:00:00"
384,ColonialVoice,77775243331802,8,2007,"2014-01-25 00:00:00"
385,SuperiorCard,33337196614989,4,2005,"2011-09-01 00:00:00"
386,SuperiorCard,33334561570452,6,2006,"2014-04-25 00:00:00"
387,ColonialVoice,77774965490722,10,2006,"2013-11-03 00:00:00"
388,Distinguish,55556406236712,2,2007,"2013-07-25 00:00:00"
389,Distinguish,55552532138087,10,2005,"2013-10-30 00:00:00"
390,Vista,11118753411058,7,2008,"2014-04-11 00:00:00"
391,ColonialVoice,77772463833333,7,2005,"2014-02-24 00:00:00"
392,Vista,11118562672576,5,2007,"2013-10-29 00:00:00"
393,Vista,11111627148699,4,2006,"2014-03-05 00:00:00"
394,Distinguish,55553008487911,6,2006,"2009-02-19 00:00:00"
395,ColonialVoice,77771418781901,6,2006,"2008-11-25 00:00:00"
396,SuperiorCard,33338589135498,2,2006,"2014-06-28 00:00:00"
397,SuperiorCard,33338702777274,5,2006,"2013-08-08 00:00:00"
398,SuperiorCard,33339957826041,8,2006,"2012-06-20 00:00:00"
399,Vista,11118730511214,7,2006,"2013-07-18 00:00:00"
400,Vista,11118201757324,6,2005,"2011-10-19 00:00:00"
401,Distinguish,55557648719357,9,2007,"2014-01-12 00:00:00"
402,ColonialVoice,77778707357207,11,2008,"2013-05-22 00:00:00"
