transid,accountid,date,type,operation,amount,balance,ksymbol,bank,account
89,1,1998-04-05,VYDAJ,"PREVOD NA UCET",2452,11906,SIPO,YZ,87144583
90,1,1998-05-05,VYDAJ,"PREVOD NA UCET",2452,12998,SIPO,YZ,87144583
91,1,1998-06-05,VYDAJ,"PREVOD NA UCET",2452,14278,SIPO,YZ,87144583
92,1,1998-07-05,VYDAJ,"PREVOD NA UCET",2452,15111,SIPO,YZ,87144583
93,1,1998-08-05,VYDAJ,"PREVOD NA UCET",2452,16129,SIPO,YZ,87144583
94,1,1998-09-05,VYDAJ,"PREVOD NA UCET",2452,10919,SIPO,YZ,87144583
95,1,1998-10-05,VYDAJ,"PREVOD NA UCET",2452,12190,SIPO,YZ,87144583
96,1,1998-11-05,VYDAJ,"PREVOD NA UCET",2452,13465,SIPO,YZ,87144583
97,1,1998-12-05,VYDAJ,"PREVOD NA UCET",2452,9735,SIPO,YZ,87144583
98,1,1995-12-24,VYDAJ,VYBER,540,18109,NULL,NULL,NULL
99,1,1996-12-18,VYDAJ,VYBER,180,12615,NULL,NULL,NULL
108,1,1996-01-21,VYDAJ,VYBER,870,13950,NULL,NULL,NULL
109,1,1996-01-18,VYDAJ,VYBER,150,14820,NULL,NULL,NULL
110,1,1996-01-04,VYDAJ,VYBER,210,17963,NULL,NULL,NULL
111,1,1996-01-09,VYDAJ,VYBER,720,14611,NULL,NULL,NULL
112,1,1996-01-09,VYDAJ,VYBER,180,15331,NULL,NULL,NULL
113,1,1996-01-10,VYDAJ,VYBER,420,14191,NULL,NULL,NULL
114,1,1997-01-30,VYDAJ,VYBER,840,12777,NULL,NULL,NULL
117,1,1997-01-13,VYDAJ,VYBER,630,14457,NULL,NULL,NULL
118,1,1997-01-22,VYDAJ,VYBER,450,13617,NULL,NULL,NULL
119,1,1997-01-19,VYDAJ,VYBER,390,14067,NULL,NULL,NULL
121,1,1998-01-03,VYDAJ,VYBER,570,14226,NULL,NULL,NULL
122,1,1998-01-28,VYDAJ,VYBER,480,13133,NULL,NULL,NULL
123,1,1998-01-24,VYDAJ,VYBER,330,13613,NULL,NULL,NULL
125,1,1998-01-19,VYDAJ,VYBER,810,13943,NULL,NULL,NULL
127,1,1995-11-30,VYDAJ,VYBER,870,19036,NULL,NULL,NULL
131,1,1996-05-13,VYDAJ,VYBER,660,16277,NULL,NULL,NULL
132,1,1996-06-22,VYDAJ,VYBER,360,16692,NULL,NULL,NULL
133,1,1996-07-16,VYDAJ,VYBER,990,17980,NULL,NULL,NULL
134,1,1996-08-26,VYDAJ,VYBER,1410,19116,NULL,NULL,NULL
135,1,1996-10-13,VYDAJ,VYBER,270,19725,NULL,NULL,NULL
136,1,1996-08-05,VYDAJ,VYBER,1140,16899,NULL,NULL,NULL
137,1,1996-01-27,VYDAJ,VYBER,420,13530,NULL,NULL,NULL
138,1,1997-02-16,VYDAJ,VYBER,570,15175,NULL,NULL,NULL
139,1,1997-08-28,VYDAJ,VYBER,870,15812,NULL,NULL,NULL
140,1,1997-09-05,VYDAJ,VYBER,390,13023,NULL,NULL,NULL
141,1,1997-02-24,VYDAJ,VYBER,630,14545,NULL,NULL,NULL
142,1,1997-05-27,VYDAJ,VYBER,1170,12572,NULL,NULL,NULL
143,1,1998-03-17,VYDAJ,VYBER,810,15360,NULL,NULL,NULL
144,1,1998-08-03,VYDAJ,VYBER,270,18581,NULL,NULL,NULL
146,1,1998-11-14,VYDAJ,VYBER,510,16634,NULL,NULL,NULL
147,1,1998-04-04,VYDAJ,VYBER,1050,14358,NULL,NULL,NULL
148,1,1998-04-28,VYDAJ,VYBER,180,15405,NULL,NULL,NULL
149,1,1998-06-24,VYDAJ,VYBER,450,17507,NULL,NULL,NULL
150,1,1998-01-17,VYDAJ,VYBER,600,14753,NULL,NULL,NULL
159,1,1995-08-31,VYDAJ,VYBER,15,21487,SLUZBY,NULL,NULL
160,1,1995-09-30,VYDAJ,VYBER,15,22091,SLUZBY,NULL,NULL
161,1,1995-10-31,VYDAJ,VYBER,15,20494,SLUZBY,NULL,NULL
162,1,1995-11-30,VYDAJ,VYBER,15,19022,SLUZBY,NULL,NULL
163,1,1995-12-31,VYDAJ,VYBER,15,18173,SLUZBY,NULL,NULL
164,1,1996-01-31,VYDAJ,VYBER,15,13580,SLUZBY,NULL,NULL
165,1,1996-02-29,VYDAJ,VYBER,15,14952,SLUZBY,NULL,NULL
166,1,1996-03-31,VYDAJ,VYBER,15,16430,SLUZBY,NULL,NULL
167,1,1996-04-30,VYDAJ,VYBER,15,15710,SLUZBY,NULL,NULL
168,1,1996-05-31,VYDAJ,VYBER,15,14425,SLUZBY,NULL,NULL
169,1,1996-06-30,VYDAJ,VYBER,15,16743,SLUZBY,NULL,NULL
170,1,1996-07-31,VYDAJ,VYBER,15,18039,SLUZBY,NULL,NULL
171,1,1996-08-31,VYDAJ,VYBER,15,19177,SLUZBY,NULL,NULL
172,1,1996-09-30,VYDAJ,VYBER,15,18768,SLUZBY,NULL,NULL
173,1,1996-10-31,VYDAJ,VYBER,15,16784,SLUZBY,NULL,NULL
174,1,1996-11-30,VYDAJ,VYBER,15,15268,SLUZBY,NULL,NULL
175,1,1996-12-31,VYDAJ,VYBER,15,12660,SLUZBY,NULL,NULL
176,1,1997-01-31,VYDAJ,VYBER,15,12818,SLUZBY,NULL,NULL
177,1,1997-02-28,VYDAJ,VYBER,15,14588,SLUZBY,NULL,NULL
178,1,1997-03-31,VYDAJ,VYBER,15,11253,SLUZBY,NULL,NULL
179,1,1997-04-30,VYDAJ,VYBER,15,12515,SLUZBY,NULL,NULL
180,1,1997-05-31,VYDAJ,VYBER,15,12611,SLUZBY,NULL,NULL
181,1,1997-06-30,VYDAJ,VYBER,15,13879,SLUZBY,NULL,NULL
182,1,1997-07-31,VYDAJ,VYBER,15,16655,SLUZBY,NULL,NULL
183,1,1997-08-31,VYDAJ,VYBER,15,15865,SLUZBY,NULL,NULL
184,1,1997-09-30,VYDAJ,VYBER,15,16752,SLUZBY,NULL,NULL
185,1,1997-10-31,VYDAJ,VYBER,15,18037,SLUZBY,NULL,NULL
186,1,1997-11-30,VYDAJ,VYBER,15,18222,SLUZBY,NULL,NULL
187,1,1997-12-31,VYDAJ,VYBER,15,14796,SLUZBY,NULL,NULL
188,1,1998-01-31,VYDAJ,VYBER,15,13174,SLUZBY,NULL,NULL
189,1,1998-02-28,VYDAJ,VYBER,15,14943,SLUZBY,NULL,NULL
190,1,1998-03-31,VYDAJ,VYBER,15,15408,SLUZBY,NULL,NULL
191,1,1998-04-30,VYDAJ,VYBER,15,15450,SLUZBY,NULL,NULL
192,1,1998-05-31,VYDAJ,VYBER,15,16730,SLUZBY,NULL,NULL
193,1,1998-06-30,VYDAJ,VYBER,15,17563,SLUZBY,NULL,NULL
194,1,1998-07-31,VYDAJ,VYBER,15,18851,SLUZBY,NULL,NULL
195,1,1998-08-31,VYDAJ,VYBER,15,19871,SLUZBY,NULL,NULL
196,1,1998-09-30,VYDAJ,VYBER,15,14642,SLUZBY,NULL,NULL
197,1,1998-10-31,VYDAJ,VYBER,15,15917,SLUZBY,NULL,NULL
198,1,1998-11-30,VYDAJ,VYBER,15,16687,SLUZBY,NULL,NULL
199,1,1995-04-23,PRIJEM,VKLAD,12600,17279,NULL,NULL,NULL
200,1,1995-05-23,PRIJEM,VKLAD,2100,23077,NULL,NULL,NULL
201,1,1995-06-22,VYDAJ,VYBER,200,26635,NULL,NULL,NULL
202,1,1995-07-22,VYDAJ,VYBER,5300,25115,NULL,NULL,NULL
203,1,1995-08-21,VYDAJ,VYBER,7500,21403,NULL,NULL,NULL
204,1,1995-09-20,VYDAJ,VYBER,700,22014,NULL,NULL,NULL
205,1,1995-10-20,VYDAJ,VYBER,2900,20418,NULL,NULL,NULL
206,1,1995-11-19,VYDAJ,VYBER,1900,19821,NULL,NULL,NULL
207,1,1995-12-19,VYDAJ,VYBER,1600,18649,NULL,NULL,NULL
208,1,1996-01-18,VYDAJ,VYBER,2900,14970,NULL,NULL,NULL
209,1,1996-02-17,PRIJEM,VKLAD,100,14907,NULL,NULL,NULL
210,1,1996-03-18,PRIJEM,VKLAD,200,16379,NULL,NULL,NULL
211,1,1996-04-17,VYDAJ,VYBER,2000,15657,NULL,NULL,NULL
212,1,1996-05-17,VYDAJ,VYBER,1900,14377,NULL,NULL,NULL
213,1,1996-06-16,PRIJEM,VKLAD,1400,17052,NULL,NULL,NULL
214,1,1996-07-16,PRIJEM,VKLAD,1000,18970,NULL,NULL,NULL
215,1,1996-08-15,PRIJEM,VKLAD,2400,20526,NULL,NULL,NULL
216,1,1996-09-14,VYDAJ,VYBER,1700,18704,NULL,NULL,NULL
217,1,1996-10-14,VYDAJ,VYBER,3000,16725,NULL,NULL,NULL
218,1,1996-11-13,VYDAJ,VYBER,2800,15211,NULL,NULL,NULL
219,1,1996-12-13,VYDAJ,VYBER,3700,12795,NULL,NULL,NULL
220,1,1997-01-12,PRIJEM,VKLAD,1200,11408,NULL,NULL,NULL
221,1,1997-02-11,PRIJEM,VKLAD,1700,12066,NULL,NULL,NULL
222,1,1997-03-13,VYDAJ,VYBER,4600,11215,NULL,NULL,NULL
223,1,1997-07-11,PRIJEM,VKLAD,1500,12927,NULL,NULL,NULL
224,1,1997-08-10,VYDAJ,VYBER,1200,13003,NULL,NULL,NULL
225,1,1997-11-08,VYDAJ,VYBER,1100,14485,NULL,NULL,NULL
226,1,1997-12-08,VYDAJ,VYBER,4700,11070,NULL,NULL,NULL
227,1,1998-01-07,VYDAJ,VYBER,100,11674,NULL,NULL,NULL
228,1,1998-02-06,PRIJEM,VKLAD,500,11222,NULL,NULL,NULL
229,1,1998-09-04,VYDAJ,VYBER,6500,13371,NULL,NULL,NULL
230,1,1998-12-03,VYDAJ,VYBER,4500,12187,NULL,NULL,NULL
276,2,1993-02-26,PRIJEM,VKLAD,1100,1100,NULL,NULL,NULL
279,2,1993-03-12,PRIJEM,"PREVOD Z UCTU",20236,21336,NULL,ST,66487163
280,2,1993-04-12,PRIJEM,"PREVOD Z UCTU",20236,45286,NULL,ST,66487163
281,2,1993-05-12,PRIJEM,"PREVOD Z UCTU",20236,54631,NULL,ST,66487163
282,2,1993-06-12,PRIJEM,"PREVOD Z UCTU",30354,67530,NULL,ST,66487163
283,2,1993-07-12,PRIJEM,"PREVOD Z UCTU",20236,62326,NULL,ST,66487163
284,2,1993-08-12,PRIJEM,"PREVOD Z UCTU",20236,49139,NULL,ST,66487163
285,2,1993-09-12,PRIJEM,"PREVOD Z UCTU",20236,39962,NULL,ST,66487163
286,2,1993-10-12,PRIJEM,"PREVOD Z UCTU",20236,30744,NULL,ST,66487163
287,2,1993-11-12,PRIJEM,"PREVOD Z UCTU",20236,40800,NULL,ST,66487163
288,2,1993-12-12,PRIJEM,"PREVOD Z UCTU",30354,47213,NULL,ST,66487163
289,2,1994-01-12,PRIJEM,"PREVOD Z UCTU",20236,40811,NULL,ST,66487163
290,2,1994-02-12,PRIJEM,"PREVOD Z UCTU",20236,33009,NULL,ST,66487163
291,2,1994-03-12,PRIJEM,"PREVOD Z UCTU",20236,39200,NULL,ST,66487163
292,2,1994-04-12,PRIJEM,"PREVOD Z UCTU",20236,44012,NULL,ST,66487163
293,2,1994-05-12,PRIJEM,"PREVOD Z UCTU",20236,46144,NULL,ST,66487163
294,2,1994-06-12,PRIJEM,"PREVOD Z UCTU",30354,43381,NULL,ST,66487163
295,2,1994-07-12,PRIJEM,"PREVOD Z UCTU",20236,38690,NULL,ST,66487163
296,2,1994-08-12,PRIJEM,"PREVOD Z UCTU",20236,43894,NULL,ST,66487163
297,2,1994-09-12,PRIJEM,"PREVOD Z UCTU",20236,45820,NULL,ST,66487163
298,2,1994-10-12,PRIJEM,"PREVOD Z UCTU",20236,38700,NULL,ST,66487163
299,2,1994-11-12,PRIJEM,"PREVOD Z UCTU",20236,45013,NULL,ST,66487163
300,2,1994-12-12,PRIJEM,"PREVOD Z UCTU",30354,51152,NULL,ST,66487163
301,2,1995-01-12,PRIJEM,"PREVOD Z UCTU",20236,45884,NULL,ST,66487163
302,2,1995-02-12,PRIJEM,"PREVOD Z UCTU",20236,33385,NULL,ST,66487163
303,2,1995-03-12,PRIJEM,"PREVOD Z UCTU",20236,41078,NULL,ST,66487163
304,2,1995-04-12,PRIJEM,"PREVOD Z UCTU",20236,46595,NULL,ST,66487163
305,2,1995-05-12,PRIJEM,"PREVOD Z UCTU",20236,38898,NULL,ST,66487163
306,2,1995-06-12,PRIJEM,"PREVOD Z UCTU",30354,46121,NULL,ST,66487163
307,2,1995-07-12,PRIJEM,"PREVOD Z UCTU",20236,49575,NULL,ST,66487163
308,2,1995-08-12,PRIJEM,"PREVOD Z UCTU",20236,50919,NULL,ST,66487163
309,2,1995-09-12,PRIJEM,"PREVOD Z UCTU",20236,34252,NULL,ST,66487163
310,2,1995-10-12,PRIJEM,"PREVOD Z UCTU",20236,42344,NULL,ST,66487163
311,2,1995-11-12,PRIJEM,"PREVOD Z UCTU",20236,39813,NULL,ST,66487163
312,2,1995-12-12,PRIJEM,"PREVOD Z UCTU",30354,58147,NULL,ST,66487163
313,2,1996-01-12,PRIJEM,"PREVOD Z UCTU",20236,36992,NULL,ST,66487163
314,2,1996-02-12,PRIJEM,"PREVOD Z UCTU",20236,41548,NULL,ST,66487163
315,2,1996-03-12,PRIJEM,"PREVOD Z UCTU",20236,51138,NULL,ST,66487163
316,2,1996-04-12,PRIJEM,"PREVOD Z UCTU",20236,47980,NULL,ST,66487163
317,2,1996-05-12,PRIJEM,"PREVOD Z UCTU",20236,42558,NULL,ST,66487163
318,2,1996-06-12,PRIJEM,"PREVOD Z UCTU",30354,51880,NULL,ST,66487163
319,2,1996-07-12,PRIJEM,"PREVOD Z UCTU",20236,59600,NULL,ST,66487163
320,2,1996-08-12,PRIJEM,"PREVOD Z UCTU",20236,47812,NULL,ST,66487163
321,2,1996-09-12,PRIJEM,"PREVOD Z UCTU",20236,52135,NULL,ST,66487163
322,2,1996-10-12,PRIJEM,"PREVOD Z UCTU",20236,48910,NULL,ST,66487163
323,2,1996-11-12,PRIJEM,"PREVOD Z UCTU",20236,53537,NULL,ST,66487163
324,2,1996-12-12,PRIJEM,"PREVOD Z UCTU",30354,61002,NULL,ST,66487163
325,2,1997-01-12,PRIJEM,"PREVOD Z UCTU",20236,47061,NULL,ST,66487163
326,2,1997-02-12,PRIJEM,"PREVOD Z UCTU",20236,45273,NULL,ST,66487163
327,2,1997-03-12,PRIJEM,"PREVOD Z UCTU",20236,50579,NULL,ST,66487163
328,2,1997-04-12,PRIJEM,"PREVOD Z UCTU",20236,56383,NULL,ST,66487163
329,2,1997-05-12,PRIJEM,"PREVOD Z UCTU",20236,62840,NULL,ST,66487163
330,2,1997-06-12,PRIJEM,"PREVOD Z UCTU",30354,69302,NULL,ST,66487163
331,2,1997-07-12,PRIJEM,"PREVOD Z UCTU",20236,50616,NULL,ST,66487163
332,2,1997-08-12,PRIJEM,"PREVOD Z UCTU",20236,52043,NULL,ST,66487163
333,2,1997-09-12,PRIJEM,"PREVOD Z UCTU",20236,51916,NULL,ST,66487163
334,2,1997-10-12,PRIJEM,"PREVOD Z UCTU",20236,55262,NULL,ST,66487163
335,2,1997-11-12,PRIJEM,"PREVOD Z UCTU",20236,51615,NULL,ST,66487163
336,2,1997-12-12,PRIJEM,"PREVOD Z UCTU",30354,62183,NULL,ST,66487163
337,2,1998-01-12,PRIJEM,"PREVOD Z UCTU",20236,45346,NULL,ST,66487163
338,2,1998-02-12,PRIJEM,"PREVOD Z UCTU",20236,40752,NULL,ST,66487163
339,2,1998-03-12,PRIJEM,"PREVOD Z UCTU",20236,49746,NULL,ST,66487163
340,2,1998-04-12,PRIJEM,"PREVOD Z UCTU",20236,43827,NULL,ST,66487163
341,2,1998-05-12,PRIJEM,"PREVOD Z UCTU",20236,43128,NULL,ST,66487163
342,2,1998-06-12,PRIJEM,"PREVOD Z UCTU",30354,59856,NULL,ST,66487163
343,2,1998-07-12,PRIJEM,"PREVOD Z UCTU",20236,59512,NULL,ST,66487163
344,2,1998-08-12,PRIJEM,"PREVOD Z UCTU",20236,60184,NULL,ST,66487163
345,2,1998-09-12,PRIJEM,"PREVOD Z UCTU",20236,55836,NULL,ST,66487163
346,2,1998-10-12,PRIJEM,"PREVOD Z UCTU",20236,53786,NULL,ST,66487163
347,2,1998-11-12,PRIJEM,"PREVOD Z UCTU",20236,54535,NULL,ST,66487163
348,2,1998-12-12,PRIJEM,"PREVOD Z UCTU",30354,54171,NULL,ST,66487163
355,2,1993-07-11,VYDAJ,VYBER,3200,42090,NULL,NULL,0
356,2,1993-08-07,VYDAJ,VYBER,2900,28903,NULL,NULL,0
357,2,1993-09-14,VYDAJ,VYBER,3600,36362,NULL,NULL,0
358,2,1993-10-03,VYDAJ,VYBER,4000,17774,NULL,NULL,0
359,2,1993-11-21,VYDAJ,VYBER,3800,37000,NULL,NULL,0
360,2,1993-12-08,VYDAJ,VYBER,3500,21059,NULL,NULL,0
361,2,1994-01-12,VYDAJ,"PREVOD NA UCET",3373,35338,UVER,ST,89597016
362,2,1994-02-12,VYDAJ,"PREVOD NA UCET",3373,29636,UVER,ST,89597016
363,2,1994-03-12,VYDAJ,"PREVOD NA UCET",3373,35827,UVER,ST,89597016
364,2,1994-04-12,VYDAJ,"PREVOD NA UCET",3373,40639,UVER,ST,89597016
365,2,1994-05-12,VYDAJ,"PREVOD NA UCET",3373,42772,UVER,ST,89597016
366,2,1994-06-12,VYDAJ,"PREVOD NA UCET",3373,40009,UVER,ST,89597016
367,2,1994-07-12,VYDAJ,"PREVOD NA UCET",3373,35317,UVER,ST,89597016
368,2,1994-08-12,VYDAJ,"PREVOD NA UCET",3373,40522,UVER,ST,89597016
369,2,1994-09-12,VYDAJ,"PREVOD NA UCET",3373,42447,UVER,ST,89597016
370,2,1994-10-12,VYDAJ,"PREVOD NA UCET",3373,35328,UVER,ST,89597016
371,2,1994-11-12,VYDAJ,"PREVOD NA UCET",3373,41641,UVER,ST,89597016
372,2,1994-12-12,VYDAJ,"PREVOD NA UCET",3373,47780,UVER,ST,89597016
373,2,1995-01-12,VYDAJ,"PREVOD NA UCET",3373,36211,UVER,ST,89597016
374,2,1995-02-12,VYDAJ,"PREVOD NA UCET",3373,30012,UVER,ST,89597016
375,2,1995-03-12,VYDAJ,"PREVOD NA UCET",3373,37705,UVER,ST,89597016
376,2,1995-04-12,VYDAJ,"PREVOD NA UCET",3373,43222,UVER,ST,89597016
377,2,1995-05-12,VYDAJ,"PREVOD NA UCET",3373,35526,UVER,ST,89597016
378,2,1995-06-12,VYDAJ,"PREVOD NA UCET",3373,42749,UVER,ST,89597016
379,2,1995-07-12,VYDAJ,"PREVOD NA UCET",3373,46202,UVER,ST,89597016
380,2,1995-08-12,VYDAJ,"PREVOD NA UCET",3373,47547,UVER,ST,89597016
381,2,1995-09-12,VYDAJ,"PREVOD NA UCET",3373,30879,UVER,ST,89597016
382,2,1995-10-12,VYDAJ,"PREVOD NA UCET",3373,38972,UVER,ST,89597016
383,2,1995-11-12,VYDAJ,"PREVOD NA UCET",3373,36440,UVER,ST,89597016
384,2,1995-12-12,VYDAJ,"PREVOD NA UCET",3373,54774,UVER,ST,89597016
385,2,1996-01-22,VYDAJ,VYBER,4700,22692,NULL,NULL,0
386,2,1996-02-16,VYDAJ,VYBER,3500,38048,NULL,NULL,0
387,2,1996-03-28,VYDAJ,VYBER,2200,38538,NULL,NULL,0
388,2,1996-04-26,VYDAJ,VYBER,2500,22735,NULL,NULL,0
389,2,1996-05-17,VYDAJ,VYBER,3100,32558,NULL,NULL,0
390,2,1996-06-03,VYDAJ,VYBER,2900,21292,NULL,NULL,0
391,2,1996-07-18,VYDAJ,VYBER,3000,56600,NULL,NULL,0
392,2,1996-08-13,VYDAJ,VYBER,3200,44612,NULL,NULL,0
393,2,1996-09-11,VYDAJ,VYBER,2800,31899,NULL,NULL,0
394,2,1996-10-22,VYDAJ,VYBER,3500,45410,NULL,NULL,0
395,2,1996-11-08,VYDAJ,VYBER,3100,33301,NULL,NULL,0
396,2,1996-12-04,VYDAJ,VYBER,3600,45914,NULL,NULL,0
397,2,1997-01-24,VYDAJ,VYBER,2100,29661,NULL,NULL,0
