Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
33,Eliminated,SCS1,Deputy Director,Human Resources,UK Statistics Authority,UK Statistics Authority,Human Resources,N/A,info@statistics.gov.uk,43,N/D,1,0,0,Human Resources,,1
34,Eliminated,SCS1,Deputy Director,Operational Services,UK Statistics Authority,UK Statistics Authority,Operational Services,N/A,info@statistics.gov.uk,8,N/D,1,0,0,Information Technology,Eliminated following reorganisation,1
35,Ian Shopland,SCS1,Deputy Director,Application Development Support,UK Statistics Authority,UK Statistics Authority,Application Development Support,0845 601 3034,info@statistics.gov.uk,45,6394358,1,0,0,Information Technology,Post renamed,1
36,ND,SCS1,Deputy Director,Census Methodology And Infrastructure,UK Statistics Authority,UK Statistics Authority,Census Methodology And Infrastructure,0845 601 3034,info@statistics.gov.uk,45,3633768,1,0,0,Statisticians,,1
37,Martin Brand,SCS1,Deputy Director,Survey Methodology,UK Statistics Authority,UK Statistics Authority,Survey Methodology,0845 601 3034,info@statistics.gov.uk,45,2048461,0.7,0,0,Statisticians,Post renamed,1
39,Eliminated,SCS1,Deputy Director,Information Security and Legal Services,UK Statistics Authority,UK Statistics Authority,Information Security and Legal Services,N/A,info@statistics.gov.uk,9,N/D,1,0,0,Operational Delivery,Eliminated following reorganisation 01 April 2012,1
41,Tricia Dodd,SCS1,Deputy Director,Crime Statistics and Analysis,UK Statistics Authority,UK Statistics Authority,Crime Statistics and Analysis,0845 601 3034,info@statistics.gov.uk,5,508900,1,0,0,Social Research,Post renamed,1
42,Claire Stretch,SCS1,Deputy Director,Web Data Access Project,UK Statistics Authority,UK Statistics Authority,Web Data Access Project,0845 601 3034,info@statistics.gov.uk,5,662653,1,0,0,Operational Delivery,,1
43,Jacqui Gerrard,SCS2,Director,Organisational Capability and Performance,UK Statistics Authority,UK Statistics Authority,Organisational Capability and Performance,0845 601 3034,info@statistics.gov.uk,2,456700,1,110000,114999,Human Resources,,1
2UK,Richard Alldritt,SCS3,Head Of Assessment,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,0845 604 1857,authority.enquires@statistics.gsi.gov.uk,Board,0,1,115000,119999,Operational Delivery,Not disclosed - Less than 5 staff (amount not shown against anyone),1
4UK,Richard Laux,SCS1,Deputy Director,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,0845 604 1857,authority.enquires@statistics.gsi.gov.uk,2UK,766148,1,0,0,Operational Delivery,,1
5UK,Neil Jackson,SCS1,Deputy Director,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,0845 604 1857,authority.enquires@statistics.gsi.gov.uk,4UK,0,1,0,0,Operational Delivery,Not disclosed - Less than 5 staff amount with post 4UK,1
44,Joe Grice,SCS2,Director,Providing economic advice to the reporting and analysis or major economic and social issues,UK Statistics Authority,UK Statistics Authority,Office of the Chief Economic Adviser,0845 601 3034,info@statistics.gov.uk,2,0,1,105000,109999,Economics,New Post,1
45,Paul Woobey,SCS2,Director,"Provides the standards, methodological and technical foundations for producing and analysing official statistics; design and development of ICT solutions",UK Statistics Authority,UK Statistics Authority,Strategy and Standards,0845 601 3034,info@statistics.gov.uk,2,0,1,130000,134999,Information Technology,New Post - Not disclosed - Less than 5 staff amount with post 2,1
46,Jan Jones,SCS1,Deputy Director,Statistical Business Strategy,UK Statistics Authority,UK Statistics Authority,Statistical Business Strategy,0845 601 3034,info@statistics.gov.uk,45,496945,1,0,0,Information Technology,New Post,1
47,Michael Trevett,SCS1,Deputy Director,Business Assurance,UK Statistics Authority,UK Statistics Authority,Business Assurance,0845 601 3034,info@statistics.gov.uk,43,693237,1,0,0,Operational Delivery,New Post,1
48,Vacant,SCS1,Deputy Director,National Accounts Methods and Development,UK Statistics Authority,UK Statistics Authority,National Accounts Methods and Development,N/A,info@statistics.gov.uk,4,1026565,1,0,0,Statisticians,New Post,1
49,Iain Bell,SCS1,Deputy Director,Public Sector and Households,UK Statistics Authority,UK Statistics Authority,Public Sector and Households,0845 601 3034,info@statistics.gov.uk,4,1463313,1,0,0,Statisticians,New Post,1
50,Debra Prestwood,SCS1,Deputy Director,Collection and Production Operations,UK Statistics Authority,UK Statistics Authority,Collection and Production Operations,0845 601 3034,info@statistics.gov.uk,4,1909680,1,0,0,Operational Delivery,New Post,1
51,Vacant,SCS1,Deputy Director,Digital Publishing,UK Statistics Authority,UK Statistics Authority,Digital Publishing,N/A,info@statistics.gov.uk,6,0,1,0,0,Information Technology,New Post,1
52,Ole Black,SCS1,Deputy Director,Public Policy Analysis,UK Statistics Authority,UK Statistics Authority,Public Policy Analysis,0845 601 3034,info@statistics.gov.uk,6,1157476,1,0,0,Statisticians,New Post,1
53,Robin Youll,SCS1,Deputy Director,National Accounts Projects,UK Statistics Authority,UK Statistics Authority,National Accounts Projects,0845 601 3034,info@statistics.gov.uk,4,1227848,0.3,0,0,Statisticians,New Post,1
54,Sally Evans,SCS1,Deputy Director,Business Solutions,UK Statistics Authority,UK Statistics Authority,Business Solutions,0845 601 3034,info@statistics.gov.uk,43,837726,1,0,0,Operational Delivery,New Post,1
55,Colin Shaw,SCS1,Deputy Director,Service Centre,UK Statistics Authority,UK Statistics Authority,Service Centre,0845 601 3034,info@statistics.gov.uk,43,4720789,1,0,0,Information Technology,New Post,1
56,ND,SCS1,Deputy Director,Portfolio Delivery Unit,UK Statistics Authority,UK Statistics Authority,Portfolio Delivery Unit,0845 601 3034,info@statistics.gov.uk,43,0,1,0,0,Operational Delivery,New Post - Not disclosed Current post filled by contractor - Less than 5 staff amount with post 43,1
Board,Board of the UK Statistics Authority,SCS4,Board of the UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,N/D,authority.enquires@statistics.gsi.gov.uk,xx,0,1,0,0,Operational Delivery,,1
