Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
43,Jacqui Gerrard,SCS2,Director,Organisational Capability and Performance,UK Statistics Authority,UK Statistics Authority,Organisational Capability and Performance,0845 601 3034,info@ons.gsi.gov.uk,2,0,1,0,0,Human Resources,Salary costs not disclosed - Less than 5 staff amount with post 2 (Glen Watson),1
2UK,Richard Alldritt,SCS3,Head Of Assessment,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,0845 604 1857,authority.enquiries@statistics.gsi.gov.uk,Board,0,1,115000,119999,Statisticians,Salary costs not disclosed - Less than 5 staff (amount not shown against anyone),1
4UK,Richard Laux,SCS1,Deputy Director,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,0845 604 1857,authority.enquiries@statistics.gsi.gov.uk,2UK,797681,1,0,0,Statisticians,,1
5UK,Sandy Steward,SCS1,Deputy Director,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,0845 604 1857,authority.enquiries@statistics.gsi.gov.uk,2UK,0,1,0,0,Statisticians,New to post - Salary costs not disclosed - Less than 5 staff  amount with post  2UK (Richard Addritt),1
44,Joe Grice,SCS2,Director,Providing economic advice to the reporting and analysis or major economic and social issues,UK Statistics Authority,UK Statistics Authority,Office of the Chief Economic Adviser,0845 601 3034,info@ons.gsi.gov.uk,2,0,1,105000,109999,Economics,,1
45,Paul Woobey,SCS2,Director,"Provides the standards, methodological and technical foundations for producing and analysing official statistics; design and development of ICT solutions",UK Statistics Authority,UK Statistics Authority,Strategy and Standards,0845 601 3034,info@ons.gsi.gov.uk,2,437487,1,130000,134999,Information Technology,,1
46,Jan Jones,SCS1,Deputy Director,Statistical Business Strategy,UK Statistics Authority,UK Statistics Authority,Statistical Business Strategy,0845 601 3034,info@ons.gsi.gov.uk,45,0,1,0,0,Information Technology,Salary costs not disclosed - Less than 5 staff amount with post 45 (Paul Woobey),1
47,Michael Trevett,SCS1,Deputy Director,Business Assurance,UK Statistics Authority,UK Statistics Authority,Assurance,0845 601 3034,info@ons.gsi.gov.uk,43,653561,1,0,0,Operational Delivery,,1
48,Adrian Chesson,SCS1,Deputy Director,National Accounts Methods and Development,UK Statistics Authority,UK Statistics Authority,National Accounts Methods and Development,0845 601 3034,info@ons.gsi.gov.uk,4,1052875,1,0,0,Statisticians,New to post,1
49,Iain Bell,SCS1,Deputy Director,Public Sector and Households,UK Statistics Authority,UK Statistics Authority,Public Sector and Households,0845 601 3034,info@ons.gsi.gov.uk,4,1625395,1,0,0,Statisticians,,1
50,vacant,SCS1,Deputy Director,Collection and Production Operations,UK Statistics Authority,UK Statistics Authority,Collection and Production Operations,N/A,N/A,57,0,1,0,0,Operational Delivery,Post became vacant on 17/09/12 due to Debra Prestwood moving to Business Data -Salary costs amounts with post 57 (Peter Fullerton),1
51,Laura Dewis,SCS1,Deputy Director,Digital Publishing,UK Statistics Authority,UK Statistics Authority,Digital Publishing,0845 601 3034,info@ons.gsi.gov.uk,6,445074,1,0,0,Information Technology,,1
52,Ole Black,SCS1,Deputy Director,Public Policy Analysis,UK Statistics Authority,UK Statistics Authority,Public Policy Analysis,0845 601 3034,info@ons.gsi.gov.uk,6,1703790,1,0,0,Statisticians,,1
53,Robin Youll,SCS1,Deputy Director,National Accounts Projects,UK Statistics Authority,UK Statistics Authority,National Accounts Projects,0845 601 3034,info@ons.gsi.gov.uk,4,0,0.3,0,0,Statisticians,,1
54,Sally Evans,SCS1,Deputy Director,Organisational Capability,UK Statistics Authority,UK Statistics Authority,Organisational Capability,0845 601 3034,info@ons.gsi.gov.uk,43,990385,1,0,0,Operational Delivery,,1
55,Colin Shaw,SCS1,Deputy Director,Service Centre,UK Statistics Authority,UK Statistics Authority,Service Centre,0845 601 3034,info@ons.gsi.gov.uk,43,4334953,1,0,0,Information Technology,,1
56,Nicola Bloomer,SCS1,Deputy Director,Portfolio Delivery Unit,UK Statistics Authority,UK Statistics Authority,Portfolio Delivery Unit,0845 601 3034,info@ons.gsi.gov.uk,43,391635,1,0,0,Operational Delivery,,1
57,Peter Fullerton,SCS1A,Deputy Director,Head of Operations,UK Statistics Authority,UK Statistics Authority,Head of Operations,0845 601 3034,info@ons.gsi.gov.uk,4,1885250,1,0,0,Statisticians,New post created supporting C&P Director -,1
Board,Board of the UK Statistics Authority,SCS4,Board of the UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,N/D,authority.enquiries@statistics.gsi.gov.uk,xx,0,1,0,0,Statisticians,,1
